id_demand_elec_generated,time_stamp,rto_id,rto_full_name,demand_mwh,mwh_ng,mwh_nuc,mwh_wnd,mwh_sun,mwh_col,mwh_wat,mwh_oil,mwh_oth
DFCISO20230101-00AGG,2023-01-01 00:00:00,CISO,California Independent System Operator,24007,8897,2245,3395,954,4,2178,87,264
DFCISO20230101-01AGG,2023-01-01 01:00:00,CISO,California Independent System Operator,24546,9277,2247,3384,73,3,2455,87,846
DFCISO20230101-02AGG,2023-01-01 02:00:00,CISO,California Independent System Operator,25344,9394,2248,3236,-25,3,2696,82,1450
DFCISO20230101-03AGG,2023-01-01 03:00:00,CISO,California Independent System Operator,26468,9108,2247,3041,-25,3,2482,45,1307
DFCISO20230101-04AGG,2023-01-01 04:00:00,CISO,California Independent System Operator,26047,8969,2247,2748,-27,3,2303,45,1010
DFCISO20230101-05AGG,2023-01-01 05:00:00,CISO,California Independent System Operator,25240,8602,2246,3024,-34,3,2276,57,768
DFCISO20230101-06AGG,2023-01-01 06:00:00,CISO,California Independent System Operator,24466,8875,2246,2501,-35,3,1925,77,249
DFCISO20230101-07AGG,2023-01-01 07:00:00,CISO,California Independent System Operator,23858,9241,2244,2133,-36,3,1478,83,449
DFCISO20230101-08AGG,2023-01-01 08:00:00,CISO,California Independent System Operator,23133,8460,2244,1930,-36,3,1521,86,366
DFCISO20230101-09AGG,2023-01-01 09:00:00,CISO,California Independent System Operator,22049,7317,2244,3132,-36,3,1639,86,121
DFCISO20230101-10AGG,2023-01-01 10:00:00,CISO,California Independent System Operator,21298,6818,2244,3598,-35,3,1496,86,-8
DFCISO20230101-11AGG,2023-01-01 11:00:00,CISO,California Independent System Operator,20807,6028,2246,3843,-35,3,1655,86,-22
DFCISO20230101-12AGG,2023-01-01 12:00:00,CISO,California Independent System Operator,20301,5747,2246,3702,-35,3,1711,87,3
DFCISO20230101-13AGG,2023-01-01 13:00:00,CISO,California Independent System Operator,19927,6406,2245,3257,-35,3,1697,87,-155
DFCISO20230101-14AGG,2023-01-01 14:00:00,CISO,California Independent System Operator,19979,6721,2245,3279,-34,4,1741,86,34
DFCISO20230101-15AGG,2023-01-01 15:00:00,CISO,California Independent System Operator,20278,6515,2245,3288,-34,3,1726,86,544
DFCISO20230101-16AGG,2023-01-01 16:00:00,CISO,California Independent System Operator,20653,6280,2243,3245,558,3,2087,86,633
DFCISO20230101-17AGG,2023-01-01 17:00:00,CISO,California Independent System Operator,20607,4587,2243,3201,3562,4,2049,86,49
DFCISO20230101-18AGG,2023-01-01 18:00:00,CISO,California Independent System Operator,20033,4140,2243,3225,5631,4,1882,85,-504
DFCISO20230101-19AGG,2023-01-01 19:00:00,CISO,California Independent System Operator,19461,4618,2245,3254,6636,4,1826,86,-1072
DFCISO20230101-20AGG,2023-01-01 20:00:00,CISO,California Independent System Operator,19279,5054,2245,3438,6694,4,1810,86,-1380
DFCISO20230101-21AGG,2023-01-01 21:00:00,CISO,California Independent System Operator,19297,5044,2247,3730,6068,4,1881,86,-1394
DFCISO20230101-22AGG,2023-01-01 22:00:00,CISO,California Independent System Operator,19275,4943,2249,4366,5798,4,1835,86,-1124
DFCISO20230101-23AGG,2023-01-01 23:00:00,CISO,California Independent System Operator,19596,4551,2249,4296,4990,4,2162,86,-695
DFCISO20230102-00AGG,2023-01-02 00:00:00,CISO,California Independent System Operator,19644,5560,2250,4113,3445,4,2313,86,-221
DFCISO20230102-01AGG,2023-01-02 01:00:00,CISO,California Independent System Operator,20649,6957,2251,3780,527,4,2667,86,1026
DFCISO20230102-02AGG,2023-01-02 02:00:00,CISO,California Independent System Operator,22399,8263,2252,3838,-13,3,2883,87,1867
DFCISO20230102-03AGG,2023-01-02 03:00:00,CISO,California Independent System Operator,24778,8812,2251,4001,-13,3,2888,87,1368
DFCISO20230102-04AGG,2023-01-02 04:00:00,CISO,California Independent System Operator,25166,8709,2251,3980,-14,3,2862,87,975
DFCISO20230102-05AGG,2023-01-02 05:00:00,CISO,California Independent System Operator,25110,8355,2252,3526,-15,3,2894,86,931
DFCISO20230102-06AGG,2023-01-02 06:00:00,CISO,California Independent System Operator,24640,8036,2253,3199,-17,3,2858,88,801
DFCISO20230102-07AGG,2023-01-02 07:00:00,CISO,California Independent System Operator,24259,8000,2251,2973,-18,2,2660,88,600
DFCISO20230102-08AGG,2023-01-02 08:00:00,CISO,California Independent System Operator,23210,7739,2252,2672,-18,2,2371,88,278
DFCISO20230102-09AGG,2023-01-02 09:00:00,CISO,California Independent System Operator,21897,8704,2252,2045,-19,3,1614,88,559
DFCISO20230102-10AGG,2023-01-02 10:00:00,CISO,California Independent System Operator,21483,8322,2253,1689,-19,3,1573,88,488
DFCISO20230102-11AGG,2023-01-02 11:00:00,CISO,California Independent System Operator,20773,8135,2253,1508,-19,3,1513,88,501
DFCISO20230102-12AGG,2023-01-02 12:00:00,CISO,California Independent System Operator,20329,8374,2253,1618,-16,3,1545,88,155
DFCISO20230102-13AGG,2023-01-02 13:00:00,CISO,California Independent System Operator,20335,8475,2254,1554,4,2,1564,88,195
DFCISO20230102-14AGG,2023-01-02 14:00:00,CISO,California Independent System Operator,20527,10118,2254,1425,4,4,1674,88,86
DFCISO20230102-15AGG,2023-01-02 15:00:00,CISO,California Independent System Operator,21468,10945,2254,1231,13,4,1685,87,179
DFCISO20230102-16AGG,2023-01-02 16:00:00,CISO,California Independent System Operator,22710,11304,2254,1127,1193,4,1662,87,156
DFCISO20230102-17AGG,2023-01-02 17:00:00,CISO,California Independent System Operator,23098,9291,2254,1112,4979,3,1550,88,58
DFCISO20230102-18AGG,2023-01-02 18:00:00,CISO,California Independent System Operator,22971,7818,2252,1265,7137,4,1350,88,-429
DFCISO20230102-19AGG,2023-01-02 19:00:00,CISO,California Independent System Operator,23346,7503,2251,1309,6828,4,1332,87,-65
DFCISO20230102-20AGG,2023-01-02 20:00:00,CISO,California Independent System Operator,23474,8507,2251,1550,6966,4,1107,87,-776
DFCISO20230102-21AGG,2023-01-02 21:00:00,CISO,California Independent System Operator,24281,8355,2250,1702,5876,3,1065,87,-238
DFCISO20230102-22AGG,2023-01-02 22:00:00,CISO,California Independent System Operator,24429,8215,2247,1981,4895,4,1086,88,147
DFCISO20230102-23AGG,2023-01-02 23:00:00,CISO,California Independent System Operator,25190,10299,2248,2200,3321,4,1255,87,-38
DFCISO20230103-00AGG,2023-01-03 00:00:00,CISO,California Independent System Operator,25918,12201,2250,2465,1373,4,1712,88,101
DFCISO20230103-01AGG,2023-01-03 01:00:00,CISO,California Independent System Operator,26121,14070,2251,2245,79,2,2488,88,-250
DFCISO20230103-02AGG,2023-01-03 02:00:00,CISO,California Independent System Operator,27310,13919,2250,2493,-18,2,2921,87,624
DFCISO20230103-03AGG,2023-01-03 03:00:00,CISO,California Independent System Operator,28567,13626,2253,2317,-17,2,2700,88,736
DFCISO20230103-04AGG,2023-01-03 04:00:00,CISO,California Independent System Operator,28396,13002,2253,2763,-17,3,2658,86,289
DFCISO20230103-05AGG,2023-01-03 05:00:00,CISO,California Independent System Operator,27724,11976,2253,2979,-17,2,2871,87,196
