epoch,step,train_loss_epoch,train_loss_step,val_MAE,val_RMSE,val_loss
0,855,,0.060806822031736374,,,
0,855,,,3246.45361328125,4198.5654296875,0.05389859527349472
0,855,0.08604040741920471,,,,
1,1711,,0.0470663346350193,,,
1,1711,,,2595.916748046875,3334.202880859375,0.043589044362306595
1,1711,0.05315878242254257,,,,
2,2567,,0.04367397353053093,,,
2,2567,,,2290.420654296875,2979.452880859375,0.03919820114970207
2,2567,0.045988280326128006,,,,
3,3423,,0.04074404016137123,,,
3,3423,,,2132.740966796875,2757.33251953125,0.03590992093086243
3,3423,0.042390305548906326,,,,
4,4279,,0.04045741260051727,,,
4,4279,,,2089.421630859375,2694.17236328125,0.03522505238652229
4,4279,0.040461719036102295,,,,
5,5135,,0.03761913627386093,,,
5,5135,,,2112.62890625,2731.290771484375,0.03596648573875427
5,5135,0.03903805837035179,,,,
6,5991,,0.03689879551529884,,,
6,5991,,,2053.84423828125,2651.517822265625,0.03418330103158951
6,5991,0.0379246361553669,,,,
7,6847,,0.03920106962323189,,,
7,6847,,,2009.1644287109375,2591.100341796875,0.03347203508019447
7,6847,0.03700033575296402,,,,
8,7703,,0.03614896908402443,,,
8,7703,,,1973.0257568359375,2556.904296875,0.03284597396850586
8,7703,0.03620964288711548,,,,
9,8559,,0.03269750252366066,,,
9,8559,,,1932.7596435546875,2505.775146484375,0.03239347040653229
9,8559,0.03543030470609665,,,,
10,9415,,0.03562992438673973,,,
10,9415,,,1984.8638916015625,2547.138916015625,0.033052586019039154
10,9415,0.03484600782394409,,,,
11,10271,,0.03510948270559311,,,
11,10271,,,1918.6326904296875,2487.5166015625,0.03224322944879532
11,10271,0.034243565052747726,,,,
12,11127,,0.033058084547519684,,,
12,11127,,,1952.373046875,2500.643798828125,0.03252208232879639
12,11127,0.03375891223549843,,,,
13,11983,,0.030357541516423225,,,
13,11983,,,1914.0001220703125,2472.505615234375,0.031580183655023575
13,11983,0.03333266079425812,,,,
14,12839,,0.035159822553396225,,,
14,12839,,,1883.7445068359375,2434.36328125,0.03155539557337761
14,12839,0.032865654677152634,,,,
15,13695,,0.03643352910876274,,,
15,13695,,,1920.755126953125,2475.8408203125,0.03202825412154198
15,13695,0.032537054270505905,,,,
16,14551,,0.03288848325610161,,,
16,14551,,,1858.0535888671875,2404.236572265625,0.03120560385286808
16,14551,0.032129574567079544,,,,
17,15407,,0.0307618360966444,,,
17,15407,,,1877.434326171875,2426.453125,0.031701475381851196
17,15407,0.03183021396398544,,,,
18,16263,,0.032092977315187454,,,
18,16263,,,1847.4385986328125,2378.452392578125,0.031213244423270226
18,16263,0.03151244297623634,,,,
19,17119,,0.03090825490653515,,,
19,17119,,,1859.7218017578125,2399.69677734375,0.031617965549230576
19,17119,0.03126213327050209,,,,
